id	all	words	word_ids
1	There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song. 	['are', 'now', 'rumblings', 'that', 'apple', 'might', 'soon', 'invade', 'the', 'smart', 'watch', 'space', 'though', 'company', 'is', 'maintaining', 'its', 'customary', 'silence', 'does', 'have', 'a', 'microphone', 'or', 'speaker', 'but', 'you', 'can', 'use', 'it', 'to', 'control', 'music', 'on', 'your', 'phone', 'glance', 'at', 'face', 'view', 'artist', 'and', 'title', 'of', 'song']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]
2	"Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as ""two patches of intensely bright and white light"" over the sunspots. He jotted a note in his painstaking record. That night there was scarcely a square inch of earth that was not illuminated by aurora. "	['days', 'later', 'the', 'british', 'astronomer', 'richard', 'carrington', 'was', 'observing', 'interesting', 'sunspot', 'group', 'through', 'his', 'telescope', 'when', 'he', 'saw', 'what', 'described', 'as', 'two', 'patches', 'of', 'intensely', 'bright', 'and', 'white', 'light', 'over', 'sunspots', 'jotted', 'a', 'note', 'in', 'painstaking', 'record', 'that', 'night', 'there', 'scarcely', 'square', 'inch', 'earth', 'not', 'illuminated', 'by', 'aurora']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]
3	"I agree that California's ""three strikes and you're out"" law will be a financial disaster for taxpayers who care about education and other vital services. But it's far from clear that the law can even be credited with a reduction in crime in California. While it's true that crime declined in California last year, crime also dropped nationwide."	['agree', 'that', 'california', 'three', 'strikes', 'and', 'you', 'out', 'law', 'will', 'be', 'a', 'financial', 'disaster', 'for', 'taxpayers', 'who', 'care', 'about', 'education', 'other', 'vital', 'services', 'but', 'it', 'far', 'from', 'clear', 'the', 'can', 'even', 'credited', 'with', 'reduction', 'in', 'crime', 'while', 'TRUE', 'declined', 'last', 'year', 'also', 'dropped', 'nationwide']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]
4	Liza was in a bad temper, for she was mixing the Christmas puddings in the kitchen, and had been drawn from them, with a raisin still on her cheek, by Nana's absurd suspicions. She thought the best way of getting a little quiet was to take Nana to the nursery for a moment, but in custody of course. 	['was', 'in', 'a', 'bad', 'temper', 'for', 'she', 'mixing', 'the', 'christmas', 'puddings', 'kitchen', 'and', 'had', 'been', 'drawn', 'from', 'them', 'with', 'raisin', 'still', 'on', 'her', 'cheek', 'by', 'nana', 'absurd', 'suspicions', 'thought', 'best', 'way', 'of', 'getting', 'little', 'quiet', 'to', 'take', 'nursery', 'moment', 'but', 'custody', 'course']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]
5	Mrs. Darling quivered and went to the window. It was securely fastened. She looked out, and the night was peppered with stars. They were crowding round the house, as if curious to see what was to take place there, but she did not notice this, nor that one or two of the smaller ones winked at her. 	['darling', 'quivered', 'and', 'went', 'to', 'the', 'window', 'it', 'was', 'securely', 'fastened', 'she', 'looked', 'out', 'night', 'peppered', 'with', 'stars', 'they', 'were', 'crowding', 'round', 'house', 'as', 'if', 'curious', 'see', 'what', 'take', 'place', 'there', 'but', 'did', 'not', 'notice', 'this', 'nor', 'that', 'one', 'or', 'two', 'of', 'smaller', 'ones', 'winked', 'at', 'her']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]
6	Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea. He did not know that the crocodile was waiting for him; for we purposely stopped the clock that this knowledge might be spared him: a little mark of respect from us at the end. 	['peter', 'slowly', 'advancing', 'upon', 'him', 'through', 'the', 'air', 'with', 'dagger', 'poised', 'he', 'sprang', 'bulwarks', 'to', 'cast', 'himself', 'into', 'sea', 'did', 'not', 'know', 'that', 'crocodile', 'was', 'waiting', 'for', 'we', 'purposely', 'stopped', 'clock', 'this', 'knowledge', 'might', 'be', 'spared', 'a', 'little', 'mark', 'of', 'respect', 'from', 'us', 'at', 'end']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]
7	Dorothy didn't know. She looked around her anxiously for some familiar landmark; but everything was strange. Between the branches of the many roads were green meadows and a few shrubs and trees, but she couldn't see the farm-house from which she had just come, or anything she had ever seen before, except the shaggy man and Toto. 	['did', 'know', 'she', 'looked', 'around', 'her', 'anxiously', 'for', 'some', 'familiar', 'landmark', 'but', 'everything', 'was', 'strange', 'between', 'the', 'branches', 'of', 'many', 'roads', 'were', 'green', 'meadows', 'and', 'a', 'few', 'shrubs', 'trees', 'could', 'see', 'farm-house', 'from', 'which', 'had', 'just', 'come', 'or', 'anything', 'ever', 'seen', 'before', 'except', 'shaggy', 'man', 'toto']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]
8	The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity. Heat reactions usually occur when large amounts of water and/or salt are lost through excessive sweating following strenuous exercise. When the body becomes overheated and cannot eliminate this excess heat, heat exhaustion and heat stroke are possible.	['human', 'body', 'can', 'tolerate', 'only', 'a', 'small', 'range', 'of', 'temperature', 'especially', 'when', 'the', 'person', 'is', 'engaged', 'in', 'vigorous', 'activity', 'heat', 'reactions', 'usually', 'occur', 'large', 'amounts', 'water', 'and/or', 'salt', 'are', 'lost', 'through', 'excessive', 'sweating', 'following', 'strenuous', 'exercise', 'becomes', 'overheated', 'and', 'eliminate', 'this', 'excess', 'exhaustion', 'stroke', 'possible']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]
9	It was a forbidding challenge, and it says much for Winstanley's persuasive abilities, not to mention his self-confidence, that the admiralty agreed to fund him. No lighthouse had ever been built out to sea on an isolated rock before. The Eddystone is hard enough to avoid, but landing on it is a separate challenge entirely. 	['was', 'a', 'forbidding', 'challenge', 'and', 'it', 'says', 'much', 'for', 'winstanley', 'persuasive', 'abilities', 'not', 'to', 'mention', 'his', 'self-confidence', 'that', 'the', 'admiralty', 'agreed', 'fund', 'him', 'no', 'lighthouse', 'had', 'ever', 'been', 'built', 'out', 'sea', 'on', 'an', 'isolated', 'rock', 'before', 'eddystone', 'is', 'hard', 'enough', 'avoid', 'but', 'landing', 'separate', 'entirely']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]
10	"A clergyman remarked to him, ""The Lord is on our side."" I am not at all concerned about that, replied Mr. Lincoln; ""for I know that the Lord is always on the side of the right. But it is my constant anxiety and prayer that I and this nation should be on the Lord's side."" "	['clergyman', 'remarked', 'to', 'him', 'the', 'lord', 'is', 'on', 'our', 'side', 'i', 'am', 'not', 'at', 'all', 'concerned', 'about', 'that', 'replied', 'mr.', 'lincoln', 'for', 'know', 'always', 'of', 'right', 'but', 'it', 'my', 'constant', 'anxiety', 'and', 'prayer', 'this', 'nation', 'should', 'be']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]
11	Known as Rapa Nui to the island's inhabitants, Rongorongo is a writing system comprised of pictographs. It has been found carved into many oblong wooden tablets and other artifacts from the island's history. The art of writing was not known in any nearby islands and the script's mere existence is sufficient to confound anthropologists. 	['as', 'rapa', 'nui', 'to', 'the', 'island', 'inhabitants', 'rongorongo', 'is', 'a', 'writing', 'system', 'comprised', 'of', 'pictographs', 'it', 'has', 'been', 'found', 'carved', 'into', 'many', 'oblong', 'wooden', 'tablets', 'and', 'other', 'artifacts', 'from', 'history', 'art', 'was', 'not', 'known', 'in', 'any', 'nearby', 'islands', 'script', 'mere', 'existence', 'sufficient', 'confound', 'anthropologists']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]
